Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1HSVmNmRkrAyKahBe6Szx2,"Brag","The Crucible Of Life","The Home Team",2024-07-12,193250,63,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:55:30Z,"pop punk","Thriller Records",0.6,0.783,4,-5.478,0,0.0621,0.000316,0,0.326,0.584,123.051,4
spotify:track:6k8yVeEdbvkEbPYTCp0v20,"All the Way Down","All the Way Down","Dance Gavin Dance",2025-05-22,265960,44,true,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:55:46Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.548,0.991,6,-2.003,1,0.0718,0.00119,0.0000236,0.183,0.404,130.034,4
spotify:track:1QrbZhFYlViXd60g130vw1,"Caramel","Even In Arcadia","Sleep Token",2025-05-09,290110,76,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:56:54Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.631,0.775,5,-5.385,0,0.0331,0.00432,0.00000917,0.061,0.29,94.01,4
spotify:track:4Lojbtk7XNMdSKRHSFbdkm,"Look To Windward","Even In Arcadia","Sleep Token",2025-05-09,466463,72,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:57:00Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.447,0.498,6,-9.125,0,0.0346,0.0279,0.000182,0.247,0.105,148.948,3
spotify:track:2OMjHcniFxzijWX7EaBrXE,"Emergence","Even In Arcadia","Sleep Token",2025-05-09,386253,74,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:57:04Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.517,0.584,4,-6.729,0,0.0351,0.0225,0.0000757,0.0826,0.163,126.106,4
spotify:track:4sLvxpKLvagQ4lZHUpymza,"Big Poe (feat. Sk8brd)","DON'T TAP THE GLASS","Tyler, The Creator;Pharrell Williams",2025-07-21,182401,74,true,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"","Columbia",0.711,0.71,9,-4.612,1,0.297,0.117,0,0.0875,0.567,109.975,4
spotify:track:6xV7Be6XEvkSnighmh2Tzj,"Sugar On My Tongue","DON'T TAP THE GLASS","Tyler, The Creator",2025-07-21,153332,90,true,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"","Columbia",0.703,0.501,11,-7.037,1,0.101,0.0327,0,0.193,0.463,126.073,4
spotify:track:7DIMKlmJ0CL6eROkbptoqi,"Sucka Free","DON'T TAP THE GLASS","Tyler, The Creator",2025-07-21,161051,73,true,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"","Columbia",0.749,0.764,11,-6.36,1,0.189,0.0865,0,0.118,0.63,102.769,4
spotify:track:3WgFhZfyk5nb6v7hkwPmD4,"Mommanem","DON'T TAP THE GLASS","Tyler, The Creator",2025-07-21,75386,70,true,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"","Columbia",0.656,0.893,8,-5.396,1,0.43,0.505,0,0.712,0.592,152.708,4
spotify:track:1IF3hx6HU46Pitm0dOdVJO,"Stop Playing With Me","DON'T TAP THE GLASS","Tyler, The Creator",2025-07-21,133307,70,true,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"","Columbia",0.77,0.87,1,-5.767,0,0.129,0.094,0,0.151,0.289,115.295,4
spotify:track:1lTqq0aC6r2bXLviQ3oaVt,"Ring Ring Ring","DON'T TAP THE GLASS","Tyler, The Creator",2025-07-21,201869,79,true,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"","Columbia",0.756,0.718,6,-5.867,1,0.0531,0.246,0,0.601,0.69,119.022,4
spotify:track:5DRS7YEe1bwGJLDGviT3CD,"Don't Tap That Glass / Tweakin'","DON'T TAP THE GLASS","Tyler, The Creator",2025-07-21,222124,69,true,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"","Columbia",0.537,0.85,2,-5.611,1,0.447,0.151,0,0.19,0.51,133.347,4
spotify:track:45mVT3DCE7AATXgESSdfee,"Don't You Worry Baby (feat. Madison McFerrin)","DON'T TAP THE GLASS","Tyler, The Creator;Madison McFerrin",2025-07-21,178135,73,true,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"alternative r&b","Columbia",0.665,0.786,6,-5.34,0,0.0526,0.0625,0,0.715,0.456,118.641,4
spotify:track:4waPZF96vX1Oz5pzH6dB0h,"I'll Take Care of You (feat. Yebba)","DON'T TAP THE GLASS","Tyler, The Creator;Yebba",2025-07-21,200860,77,true,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"","Columbia",0.712,0.831,11,-4.113,0,0.0528,0.565,0.000336,0.109,0.359,133.794,4
spotify:track:4UddKz4WBKn5b9tDB6tq2L,"Tell Me What It Is","DON'T TAP THE GLASS","Tyler, The Creator",2025-07-21,202133,66,false,226w3phs7mjprjolyqjkylp3q,2025-08-08T04:51:05Z,"","Columbia",0.586,0.645,5,-6.899,1,0.0462,0.482,0.000121,0.087,0.372,79.903,4
spotify:track:0fxIL8ACHxr87XAweSABoU,"White Flame ー白炎ー","METAL FORTH","BABYMETAL",2025-08-08,265048,51,false,226w3phs7mjprjolyqjkylp3q,2025-08-09T03:17:01Z,"j-rock","Capitol Records",0.387,0.981,11,-2.486,0,0.147,0.0000223,0.0406,0.0917,0.391,174.954,4
spotify:track:6NBZu27n3cxEk4y4c2Kxi8,"1-800","1-800","bbno$;Ironmouse",2025-06-27,209515,80,true,226w3phs7mjprjolyqjkylp3q,2025-08-21T20:17:34Z,"","bbno$$",0.663,0.965,9,-3.49,1,0.049,0.0151,0.0145,0.144,0.854,131.953,4
spotify:track:35D1RA5uVFVhMc1qX80TaQ,"Balloon (feat. Doechii)","CHROMAKOPIA","Tyler, The Creator;Doechii",2024-10-28,154261,71,true,226w3phs7mjprjolyqjkylp3q,2025-08-21T20:17:52Z,"","Columbia",0.437,0.868,6,-3.03,1,0.112,0.731,0,0.234,0.475,111.774,4
spotify:track:3znSvEwBq09We4cxxmwlZM,"Chains & Whips","Let God Sort Em Out","Clipse;Kendrick Lamar;Pharrell Williams;Pusha T;Malice",2025-07-11,243906,70,true,226w3phs7mjprjolyqjkylp3q,2025-08-21T20:17:56Z,"hip hop,west coast hip hop","Roc Nation Distribution",0.495,0.759,10,-5.155,0,0.286,0.183,0,0.298,0.6,92.76,4
